Month,Week,Day,Hr,Min,NAV($),Drawdown(%),P/L(%)
1,0,5,24,0,0.62,0.00,0.00
1,0,5,24,15,0.61,0.00,0.00
1,0,5,24,30,0.44,0.00,0.00
1,0,5,24,45,0.64,0.00,0.00
1,0,5,1,0,0.41,0.00,0.00
1,0,5,1,15,0.29,0.00,0.00
1,0,5,1,30,-1.43,0.00,0.00
1,0,5,1,45,-1.48,0.00,0.00
1,0,5,2,0,-1.07,0.00,0.00
1,0,5,2,15,-1.34,0.00,0.00
1,0,5,2,30,-1.17,0.00,0.00
1,0,5,2,45,-2.50,0.00,0.00
1,0,5,3,0,-3.02,0.00,0.00
1,0,5,3,15,-2.74,0.00,0.00
1,0,5,3,30,-5.06,0.00,0.00
1,0,5,3,45,-3.10,0.00,0.00
1,0,5,4,0,-3.04,0.00,0.00
1,0,5,4,15,-3.94,0.00,0.00
1,0,5,4,30,-4.50,0.00,0.00
1,0,5,4,45,-3.86,0.00,0.00
1,0,5,5,0,-4.82,0.00,0.00
1,0,5,5,15,-4.08,0.00,0.00
1,0,5,5,30,-4.94,0.00,0.00
1,0,5,5,45,-4.68,0.00,0.00
1,0,5,6,0,-4.96,0.00,0.00
1,0,5,6,15,-4.96,0.00,0.00
1,0,5,6,30,-4.76,0.00,0.00
1,0,5,6,45,-5.74,0.00,0.00
1,0,5,7,0,-6.07,0.00,0.00
1,0,5,7,15,-6.75,0.00,0.00
1,0,5,7,30,-5.61,0.00,0.00
1,0,5,7,45,-5.91,0.00,0.00
1,0,5,8,0,-6.27,0.00,0.00
1,0,5,8,15,-5.65,0.00,0.00
1,0,5,8,30,-5.87,0.00,0.00
1,0,5,8,45,-5.29,0.00,0.00
1,0,5,9,0,-5.71,0.00,0.00
1,0,5,9,15,-8.25,0.00,0.00
1,0,5,9,30,-9.09,0.00,0.00
1,0,5,9,45,-7.83,0.00,0.00
1,0,5,10,0,-5.35,0.00,0.00
1,0,5,10,15,-3.85,0.00,0.00
1,0,5,10,30,-5.43,0.00,0.00
1,0,5,10,45,-6.59,0.00,0.00
1,0,5,11,0,-7.13,0.00,0.00
1,0,5,11,15,-7.49,0.00,0.00
1,0,5,11,30,-7.27,0.00,0.00
1,0,5,11,45,-6.01,0.00,0.00
1,0,5,12,0,-5.03,0.00,0.00
1,0,5,12,15,-7.33,0.00,0.00
1,0,5,12,30,-8.11,0.00,0.00
1,0,5,12,45,-7.05,0.00,0.00
1,0,5,13,0,-6.45,0.00,0.00
1,0,5,13,15,-6.79,0.00,0.00
1,0,5,13,30,-6.09,0.00,0.00
1,0,5,13,45,-6.89,0.00,0.00
1,0,5,14,0,-5.81,0.00,0.00
1,0,5,14,15,-7.99,0.00,0.00
1,0,5,14,30,-8.19,0.00,0.00
1,0,5,14,45,-8.23,0.00,0.00
1,0,5,15,0,-8.97,0.00,0.00
1,0,5,15,15,-8.39,0.00,0.00
1,0,5,15,30,-12.07,0.00,0.00
1,0,5,15,45,-10.90,0.00,0.00
1,0,5,16,0,-10.66,0.00,0.00
1,0,5,16,15,-10.48,0.00,0.00
1,0,5,16,30,-12.13,0.00,0.00
1,0,5,16,45,-15.01,0.00,0.00
1,0,5,17,0,-13.78,0.00,0.00
1,0,5,17,15,-13.84,0.00,0.00
1,0,5,17,30,-13.78,0.00,0.00
1,0,5,17,45,-11.65,0.00,0.00
1,0,5,18,0,-10.51,0.00,0.00
1,0,5,18,15,-12.28,0.00,0.00
1,0,5,18,30,-12.37,0.00,0.00
1,0,5,18,45,-14.68,0.00,0.00
1,0,5,19,0,-15.88,0.00,0.00
1,0,5,19,15,-16.69,0.00,0.00
1,0,5,19,30,-16.48,0.00,0.00
1,0,5,19,45,-17.59,0.00,0.00
1,0,5,20,0,-17.02,0.00,0.00
1,0,5,20,15,-16.21,0.00,0.00
1,0,5,20,30,-15.73,0.00,0.00
1,0,5,20,45,-15.85,0.00,0.00
1,0,5,21,0,-16.42,0.00,0.00
1,0,5,21,15,-17.26,0.00,0.00
1,0,5,21,30,-18.43,0.00,0.00
1,0,5,21,45,-17.71,0.00,0.00
1,0,5,22,0,-18.31,0.00,0.00
1,0,5,22,15,-18.97,0.00,0.00
1,0,5,22,30,-19.17,0.00,0.00
1,0,5,22,45,-18.93,0.00,0.00
1,0,5,23,0,-19.01,0.00,0.00
1,0,5,23,15,-18.61,0.00,0.00
1,0,5,23,30,-19.33,0.00,0.00
1,0,5,23,45,0.00,0.00,0.00
1,0,1,24,0,0.00,0.00,0.00
1,0,1,24,15,0.00,0.00,0.00
1,0,1,24,30,0.00,0.00,0.00
1,0,1,24,45,0.00,0.00,0.00
1,0,1,1,0,0.00,0.00,0.00
1,0,1,1,15,0.00,0.00,0.00
1,0,1,1,30,0.00,0.00,0.00
1,0,1,1,45,0.00,0.00,0.00
1,0,1,2,0,0.00,0.00,0.00
1,0,1,2,15,0.00,0.00,0.00
1,0,1,2,30,0.00,0.00,0.00
1,0,1,2,45,0.00,0.00,0.00
1,0,1,3,0,0.00,0.00,0.00
1,0,1,3,15,0.00,0.00,0.00
1,0,1,3,30,0.00,0.00,0.00
1,0,1,3,45,0.00,0.00,0.00
1,0,1,4,0,0.00,0.00,0.00
1,0,1,4,15,0.00,0.00,0.00
1,0,1,4,30,0.00,0.00,0.00
1,0,1,4,45,0.00,0.00,0.00
1,0,1,5,0,0.00,0.00,0.00
1,0,1,5,15,0.00,0.00,0.00
1,0,1,5,30,0.00,0.00,0.00
1,0,1,5,45,0.00,0.00,0.00
1,0,1,6,0,0.00,0.00,0.00
1,0,1,6,15,0.00,0.00,0.00
1,0,1,6,30,0.00,0.00,0.00
1,0,1,6,45,0.00,0.00,0.00
1,0,1,7,0,0.00,0.00,0.00
1,0,1,7,15,0.35,0.00,0.00
1,0,1,7,30,0.13,0.00,0.00
1,0,1,7,45,-1.24,0.00,0.00
1,0,1,8,0,-0.57,0.00,0.00
1,0,1,8,15,-0.50,0.00,0.00
1,0,1,8,30,-0.55,0.00,0.00
1,0,1,8,45,-0.42,0.00,0.00
1,0,1,9,0,0.68,0.00,0.00
1,0,1,9,15,0.70,0.00,0.00
1,0,1,9,30,1.48,0.00,0.00
1,0,1,9,45,0.37,0.00,0.00
1,0,1,10,0,1.52,0.00,0.00
1,0,1,10,15,1.72,0.00,0.00
1,0,1,10,30,2.24,0.00,0.00
1,0,1,10,45,1.55,0.00,0.00
1,0,1,11,0,-0.19,0.00,0.00
1,0,1,11,15,-0.47,0.00,0.00
1,0,1,11,30,-0.73,0.00,0.00
1,0,1,11,45,0.17,0.00,0.00
1,0,1,12,0,-0.43,0.00,0.00
1,0,1,12,15,-3.71,0.00,0.00
1,0,1,12,30,-4.05,0.00,0.00
1,0,1,12,45,-6.03,0.00,0.00
1,0,1,13,0,-7.25,0.00,0.00
1,0,1,13,15,-8.09,0.00,0.00
1,0,1,13,30,-8.01,0.00,0.00
1,0,1,13,45,-10.98,0.00,0.00
1,0,1,14,0,-10.74,0.00,0.00
1,0,1,14,15,-7.89,0.00,0.00
1,0,1,14,30,-10.41,0.00,0.00
1,0,1,14,45,-14.28,0.00,0.00
1,0,1,15,0,-12.42,0.00,0.00
1,0,1,15,15,-7.71,0.00,0.00
1,0,1,15,30,-7.35,0.00,0.00
1,0,1,15,45,-5.28,0.00,0.00
1,0,1,16,0,-8.46,0.00,0.00
1,0,1,16,15,-4.32,0.00,0.00
1,0,1,16,30,-8.07,0.00,0.00
1,0,1,16,45,-5.13,0.00,0.00
1,0,1,17,0,-2.13,0.00,0.00
1,0,1,17,15,-3.72,0.00,0.00
1,0,1,17,30,-1.95,0.00,0.00
1,0,1,17,45,-6.18,0.00,0.00
1,0,1,18,0,-1.41,0.00,0.00
1,0,1,18,15,-1.98,0.00,0.00
