Month,Week,Day,Hr,Min,NAV($),Drawdown(%),P/L(%)
1,0,1,9,15,0.14,0.00,0.00
1,0,1,9,30,0.58,0.00,0.00
1,0,1,9,45,1.83,0.00,0.00
1,0,1,10,15,3.67,0.00,0.00
1,0,1,10,30,3.84,0.00,0.00
1,0,1,10,45,4.12,0.00,0.00
1,0,1,11,0,4.14,0.00,0.00
1,0,1,11,15,4.20,0.00,0.00
1,0,1,11,30,4.47,0.00,0.00
1,0,1,11,45,4.45,0.00,0.00
1,0,1,12,0,4.45,0.00,0.00
1,0,1,12,15,4.53,0.00,0.00
1,0,1,12,30,4.40,0.00,0.00
1,0,1,12,45,4.41,0.00,0.00
1,0,1,13,15,3.82,0.00,0.00
1,0,1,13,30,3.86,0.00,0.00
1,0,1,13,45,4.22,0.00,0.00
1,0,1,14,0,4.22,0.00,0.00
1,0,1,14,15,4.32,0.00,0.00
1,0,1,14,30,4.40,0.00,0.00
1,0,1,14,45,4.45,0.00,0.00
1,0,1,15,0,4.99,0.00,0.00
1,0,1,15,15,4.82,0.00,0.00
1,0,1,15,30,4.01,0.00,0.00
1,0,1,15,45,3.99,0.00,0.00
1,0,1,16,0,3.75,0.00,0.00
1,0,1,16,15,4.06,0.00,0.00
1,0,1,16,30,4.00,0.00,0.00
1,0,1,16,45,4.06,0.00,0.00
1,0,1,17,0,4.06,0.00,0.00
1,0,1,17,15,4.19,0.00,0.00
1,0,1,17,30,4.47,0.00,0.00
1,0,1,17,45,4.42,0.00,0.00
1,0,1,18,0,4.12,0.00,0.00
1,0,1,18,15,3.87,0.00,0.00
1,0,1,18,30,3.89,0.00,0.00
1,0,1,18,45,3.65,0.00,0.00
1,0,1,19,0,4.17,0.00,0.00
1,0,1,19,15,4.12,0.00,0.00
1,0,1,19,30,3.94,0.00,0.00
1,0,1,19,45,4.34,0.00,0.00
1,0,1,20,0,4.11,0.00,0.00
1,0,1,20,15,4.06,0.00,0.00
1,0,1,20,30,4.80,0.00,0.00
1,0,1,20,45,4.80,0.00,0.00
1,0,1,21,0,4.92,0.00,0.00
1,0,1,21,15,4.92,0.00,0.00
1,0,1,21,30,4.93,0.00,0.00
1,0,1,21,45,5.12,0.00,0.00
1,0,1,22,0,5.78,0.00,0.00
1,0,1,22,15,6.06,0.00,0.00
1,0,1,22,30,6.04,0.00,0.00
1,0,1,22,45,5.83,0.00,0.00
1,0,1,23,0,5.29,0.00,0.00
1,0,1,23,15,5.85,0.00,0.00
1,0,1,23,30,6.26,0.00,0.00
1,0,1,23,45,6.72,0.00,0.00
1,0,2,24,0,4.67,0.00,0.00
1,0,2,24,15,3.61,0.00,0.00
1,0,2,24,30,1.45,0.00,0.00
1,0,2,24,45,2.27,0.00,0.00
1,0,2,1,0,1.24,0.00,0.00
1,0,2,1,15,2.69,0.00,0.00
1,0,2,1,30,1.67,0.00,0.00
1,0,2,1,45,3.37,0.00,0.00
1,0,2,2,0,3.63,0.00,0.00
1,0,2,2,15,1.99,0.00,0.00
1,0,2,2,30,2.85,0.00,0.00
1,0,2,2,45,3.53,0.00,0.00
1,0,2,3,0,1.94,0.00,0.00
1,0,2,3,15,1.32,0.00,0.00
1,0,2,3,30,1.89,0.00,0.00
1,0,2,3,45,1.52,0.00,0.00
1,0,2,4,0,2.51,0.00,0.00
1,0,2,4,15,3.07,0.00,0.00
1,0,2,4,30,2.88,0.00,0.00
1,0,2,4,45,2.15,0.00,0.00
1,0,2,5,0,2.40,0.00,0.00
1,0,2,5,15,2.25,0.00,0.00
1,0,2,5,30,2.22,0.00,0.00
1,0,2,5,45,2.33,0.00,0.00
1,0,2,6,0,2.33,0.00,0.00
1,0,2,6,15,2.08,0.00,0.00
1,0,2,6,30,1.96,0.00,0.00
1,0,2,6,45,1.86,0.00,0.00
1,0,2,7,0,1.48,0.00,0.00
1,0,2,7,15,1.54,0.00,0.00
1,0,2,7,30,1.64,0.00,0.00
1,0,2,7,45,1.95,0.00,0.00
1,0,2,8,0,1.76,0.00,0.00
1,0,2,8,15,1.75,0.00,0.00
1,0,2,8,30,1.64,0.00,0.00
1,0,2,8,45,1.87,0.00,0.00
1,0,2,9,0,4.33,0.00,0.00
1,0,2,9,15,7.74,0.00,0.00
1,0,2,9,30,9.01,0.00,0.00
1,0,2,9,45,11.24,0.00,0.00
1,0,2,10,0,10.25,0.00,0.00
1,0,2,10,15,10.01,0.00,0.00
1,0,2,10,30,12.37,0.00,0.00
1,0,2,10,45,11.44,0.00,0.00
1,0,2,11,0,14.00,0.00,0.00
1,0,2,11,15,13.76,0.00,0.00
1,0,2,11,30,15.23,0.00,0.00
1,0,2,11,45,15.78,0.00,0.00
1,0,2,12,0,15.53,0.00,0.00
1,0,2,12,15,14.68,0.00,0.00
1,0,2,12,30,15.31,0.00,0.00
1,0,2,12,45,16.23,0.00,0.00
1,0,2,13,0,17.39,0.00,0.00
1,0,2,13,15,17.46,0.00,0.00
1,0,2,13,30,18.85,0.00,0.00
1,0,2,13,45,18.57,0.00,0.00
1,0,2,14,0,15.47,0.00,0.00
1,0,2,14,15,16.47,0.00,0.00
1,0,2,14,30,17.99,0.00,0.00
1,0,2,14,45,16.35,0.00,0.00
1,0,2,15,0,14.45,0.00,0.00
1,0,2,15,15,15.04,0.00,0.00
1,0,2,15,30,17.22,0.00,0.00
1,0,2,15,45,14.76,0.00,0.00
1,0,2,16,0,15.01,0.00,0.00
1,0,2,16,15,16.71,0.00,0.00
1,0,2,16,30,15.14,0.00,0.00
1,0,2,16,45,14.63,0.00,0.00
1,0,2,17,0,16.65,0.00,0.00
1,0,2,17,15,24.68,0.00,0.00
1,0,2,17,30,21.48,0.00,0.00
1,0,2,17,45,20.61,0.00,0.00
1,0,2,18,0,11.16,0.00,0.00
1,0,2,18,15,8.68,0.00,0.00
1,0,2,18,30,2.22,0.00,0.00
1,0,2,18,45,-3.72,0.00,0.00
1,0,2,19,0,2.49,0.00,0.00
1,0,2,19,15,0.96,0.00,0.00
1,0,2,19,30,1.29,0.00,0.00
1,0,2,19,45,-2.97,0.00,0.00
1,0,2,20,0,-4.00,0.00,0.00
1,0,2,20,15,-4.77,0.00,0.00
1,0,2,20,30,-5.84,0.00,0.00
1,0,2,20,45,-3.57,0.00,0.00
1,0,2,21,0,-0.02,0.00,0.00
1,0,2,21,15,1.74,0.00,0.00
1,0,2,21,30,1.44,0.00,0.00
1,0,2,21,45,1.05,0.00,0.00
1,0,2,22,0,2.04,0.00,0.00
1,0,2,22,15,2.55,0.00,0.00
1,0,2,22,30,-1.42,0.00,0.00
1,0,2,22,45,0.11,0.00,0.00
1,0,2,23,0,3.63,0.00,0.00
1,0,2,23,15,2.97,0.00,0.00
1,0,2,23,30,1.98,0.00,0.00
1,0,2,23,45,1.98,0.00,0.00
1,0,3,24,0,3.58,0.00,0.00
1,0,3,24,15,2.37,0.00,0.00
1,0,3,24,30,3.06,0.00,0.00
1,0,3,24,45,1.89,0.00,0.00
1,0,3,1,0,2.49,0.00,0.00
1,0,3,1,15,0.32,0.00,0.00
1,0,3,1,30,1.56,0.00,0.00
1,0,3,1,45,0.32,0.00,0.00
1,0,3,2,0,1.14,0.00,0.00
1,0,3,2,15,3.17,0.00,0.00
1,0,3,2,30,5.36,0.00,0.00
1,0,3,2,45,3.63,0.00,0.00
1,0,3,3,0,8.94,0.00,0.00
1,0,3,3,15,9.26,0.00,0.00
1,0,3,3,30,9.62,0.00,0.00
1,0,3,3,45,11.16,0.00,0.00
1,0,3,4,0,13.97,0.00,0.00
1,0,3,4,15,12.39,0.00,0.00
1,0,3,4,30,11.79,0.00,0.00
1,0,3,4,45,11.94,0.00,0.00
1,0,3,5,0,8.96,0.00,0.00
1,0,3,5,15,10.99,0.00,0.00
1,0,3,5,30,9.17,0.00,0.00
1,0,3,5,45,10.08,0.00,0.00
1,0,3,6,0,8.74,0.00,0.00
1,0,3,6,15,9.14,0.00,0.00
1,0,3,6,30,10.23,0.00,0.00
1,0,3,6,45,10.00,0.00,0.00
1,0,3,7,0,10.54,0.00,0.00
1,0,3,7,15,11.78,0.00,0.00
1,0,3,7,30,13.32,0.00,0.00
1,0,3,7,45,13.47,0.00,0.00
1,0,3,8,0,12.35,0.00,0.00
1,0,3,8,15,13.52,0.00,0.00
1,0,3,8,30,11.07,0.00,0.00
1,0,3,8,45,9.45,0.00,0.00
1,0,3,9,0,11.85,0.00,0.00
1,0,3,9,15,11.66,0.00,0.00
1,0,3,9,30,9.85,0.00,0.00
1,0,3,9,45,10.82,0.00,0.00
1,0,3,10,0,10.39,0.00,0.00
1,0,3,10,15,3.35,0.00,0.00
1,0,3,10,30,4.78,0.00,0.00
1,0,3,10,45,7.19,0.00,0.00
1,0,3,11,0,4.50,0.00,0.00
1,0,3,11,15,0.24,0.00,0.00
1,0,3,11,30,1.28,0.00,0.00
1,0,3,11,45,1.10,0.00,0.00
1,0,3,12,0,2.57,0.00,0.00
1,0,3,12,15,1.97,0.00,0.00
1,0,3,12,30,0.86,0.00,0.00
1,0,3,12,45,0.40,0.00,0.00
1,0,3,13,0,0.29,0.00,0.00
1,0,3,13,15,-3.21,0.00,0.00
1,0,3,13,30,-1.72,0.00,0.00
1,0,3,13,45,-1.47,0.00,0.00
1,0,3,14,0,-0.24,0.00,0.00
1,0,3,14,15,1.31,0.00,0.00
1,0,3,14,30,2.42,0.00,0.00
1,0,3,14,45,-1.42,0.00,0.00
1,0,3,15,0,-1.93,0.00,0.00
1,0,3,15,15,-2.14,0.00,0.00
1,0,3,15,30,-0.53,0.00,0.00
1,0,3,15,45,-0.45,0.00,0.00
1,0,3,16,0,-1.85,0.00,0.00
1,0,3,16,15,-2.89,0.00,0.00
1,0,3,16,30,-8.17,0.00,0.00
1,0,3,16,45,-5.79,0.00,0.00
1,0,3,17,0,-10.52,0.00,0.00
1,0,3,17,15,-10.10,0.00,0.00
1,0,3,17,30,-8.56,0.00,0.00
1,0,3,17,45,-9.89,0.00,0.00
1,0,3,18,0,-10.33,0.00,0.00
1,0,3,18,15,-6.07,0.00,0.00
1,0,3,18,30,-5.25,0.00,0.00
1,0,3,18,45,-5.22,0.00,0.00
1,0,3,19,0,-5.25,0.00,0.00
1,0,3,19,15,-6.69,0.00,0.00
1,0,3,19,30,-7.39,0.00,0.00
1,0,3,19,45,-6.56,0.00,0.00
1,0,3,20,0,-5.28,0.00,0.00
1,0,3,20,15,-4.71,0.00,0.00
1,0,3,20,30,-4.59,0.00,0.00
1,0,3,20,45,-5.33,0.00,0.00
1,0,3,21,0,-4.66,0.00,0.00
1,0,3,21,15,-7.60,0.00,0.00
1,0,3,21,30,0.19,0.00,0.00
1,0,3,21,45,2.36,0.00,0.00
1,0,3,22,0,0.40,0.00,0.00
1,0,3,22,15,-1.67,0.00,0.00
1,0,3,22,30,-1.31,0.00,0.00
1,0,3,22,45,-5.72,0.00,0.00
1,0,3,23,0,-5.66,0.00,0.00
1,0,3,23,15,-7.45,0.00,0.00
1,0,3,23,30,-8.05,0.00,0.00
1,0,3,23,45,-9.38,0.00,0.00
1,0,4,24,0,-9.35,0.00,0.00
1,0,4,24,15,-9.74,0.00,0.00
1,0,4,24,30,-9.38,0.00,0.00
1,0,4,24,45,-8.44,0.00,0.00
1,0,4,1,0,-8.38,0.00,0.00
1,0,4,1,15,-6.61,0.00,0.00
1,0,4,1,30,-7.05,0.00,0.00
1,0,4,1,45,-5.33,0.00,0.00
1,0,4,2,0,-11.67,0.00,0.00
1,0,4,2,15,-18.43,0.00,0.00
1,0,4,2,30,-24.84,0.00,0.00
1,0,4,2,45,-28.53,0.00,0.00
1,0,4,3,0,-31.72,0.00,0.00
1,0,4,3,15,-28.06,0.00,0.00
1,0,4,3,30,-22.54,0.00,0.00
1,0,4,3,45,-24.60,0.00,0.00
1,0,4,4,0,-27.13,0.00,0.00
1,0,4,4,15,-29.44,0.00,0.00
1,0,4,4,30,-28.63,0.00,0.00
1,0,4,4,45,-25.59,0.00,0.00
1,0,4,5,0,-27.55,0.00,0.00
1,0,4,5,15,-31.21,0.00,0.00
1,0,4,5,30,-31.78,0.00,0.00
1,0,4,5,45,-29.98,0.00,0.00
1,0,4,6,0,-28.99,0.00,0.00
1,0,4,6,15,-27.01,0.00,0.00
1,0,4,6,30,-28.53,0.00,0.00
1,0,4,6,45,-28.84,0.00,0.00
1,0,4,7,0,-30.51,0.00,0.00
1,0,4,7,15,-32.81,0.00,0.00
1,0,4,7,30,-37.63,0.00,0.00
1,0,4,7,45,-34.54,0.00,0.00
1,0,4,8,0,-25.67,0.00,0.00
1,0,4,8,15,-31.56,0.00,0.00
1,0,4,8,30,-31.80,0.00,0.00
1,0,4,8,45,-48.41,0.00,0.00
1,0,4,9,0,-51.46,0.00,0.00
1,0,4,9,15,-44.84,0.00,0.00
1,0,4,9,30,-43.89,0.00,0.00
1,0,4,9,45,-48.45,0.00,0.00
1,0,4,10,0,-44.08,0.00,0.00
1,0,4,10,15,-45.36,0.00,0.00
1,0,4,10,30,-33.53,0.00,0.00
1,0,4,10,45,-29.20,0.00,0.00
1,0,4,11,0,-30.61,0.00,0.00
1,0,4,11,15,-28.51,0.00,0.00
1,0,4,11,30,-21.25,0.00,0.00
1,0,4,11,45,-22.74,0.00,0.00
